"","Naziv medija","Jezik","Primarni ili sekundarni jezik","Vrsta medija","Vrsta sadržaja","Ostali jezici 1","Ostali jezici 2","Ostali jezici 3","Ostali jezici 4","Ostali jezici 5","Osnivač indirektno nacionalni savet","Grad","URL"
"1","TV Bujanovac","Albanski","Primarni jezik","Televizija","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","BUJANOVAC","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/637"
"2","TV Preševo","Albanski","Primarni jezik","Televizija","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","PREŠEVO","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/930"
"3","TV Aldi","Albanski","Primarni jezik","Televizija","Informativno-zabavni",NA,NA,NA,NA,NA,"Ne","PREŠEVO","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/644"
"4","TV Spek3","Albanski","Primarni jezik","Televizija","Informativno-zabavni",NA,NA,NA,NA,NA,"Ne","BUJANOVAC","http://www.rem.rs/en/media-service-providers-register/1510"
"5","Radio Bujanovac","Albanski","Primarni jezik","Radio","Informativno-zabavni","Srpski","Romski",NA,NA,NA,"Ne","BUJANOVAC","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/945"
"6","Radio Medveđa","Albanski","Sekundarni jezik","Radio","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","MEDVEĐA","http://rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/888"
"7","Radio Preševo","Albanski","Primarni jezik","Radio","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","PREŠEVO","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/703"
"8","TV Info plus","Albanski","Sekundarni jezik","Kablovska TV","Informativno-zabavni","Srpski","Bugarski",NA,NA,NA,"Ne","VRANJE","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/1097"
"9","www.rtvpresheva.com","Albanski","Primarni jezik","Web-portal","Informativno--zabavni",NA,NA,NA,NA,NA,"Ne","PREŠEVO","https://www.rtvpresheva.com"
"10","www.presheva.com","Albanski","Primarni jezik","Web TV portal","Informativni","Srpski",NA,NA,NA,NA,"Ne","PREŠEVO","http://presheva.com"
"11","luginalajm.com","Albanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","BUJANOVAC","https://luginalajm.com"
"12","spektri.tv","Albanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","BUJANOVAC","https://spektri.tv"
"13","preshevaobserver.com","Albanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","PREŠEVO","http://www.preshevaobserver.com"
"14","www.hanapress.net","Albanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","BUJANOVAC","https://hanapress.net"
"15","ministrialajmeve.com","Albanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","PREŠEVO","http://ministrialajmeve.com/n/"
"16","Perspektiva","Albanski","Primarni jezik","Mesečnik","Informativni",NA,NA,NA,NA,NA,"Ne","BUJANOVAC","https://tixwitchy.github.io/Minority-media/index.html"
"17","TV Novi Pazar","Bosanski","Primarni jezik","Televizija","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","NOVI PAZAR","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/599"
"18","TV Forum","Bosanski","Sekundarni jezik","Televizija","Informativni","Srpski",NA,NA,NA,NA,"Ne","PRIJEPOLJE","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/1061"
"19","TV Connect","Bosanski","Sekundarni jezik","Televizija","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","NOVI PAZAR","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/973"
"20","Sandžak TV","Bosanski","Primarni jezik","Televizija","Informativno-zabavni",NA,NA,NA,NA,NA,"Ne","NOVI PAZAR","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/1372"
"21","Sandžačka TV mreža","Bosanski","Primarni jezik","Televizija","Informativno-zabavni",NA,NA,NA,NA,NA,"Ne","TUTIN","http://sandzackatv.rs"
"22","Radio Amaro","Bosanski","Primarni jezik","Radio","Informativno-zabavni",NA,NA,NA,NA,NA,"Ne","SJENICA","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/715"
"23","Radio Novi Pazar","Bosanski","Primarni jezik","Radio","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","NOVI PAZAR","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/709"
"24","Radio Sto plus","Bosanski","Sekundarni jezik","Radio","Informativni","Srpski",NA,NA,NA,NA,"Ne","NOVI PAZAR","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/618"
"25","SANA","Bosanski","Primarni jezik","Novinska agencija","Informativni",NA,NA,NA,NA,NA,"Ne","NOVI PAZAR","https://sanapress.info"
"26","sandzacke.rs","Bosanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","NOVI PAZAR","http://sandzacke.rs"
"27","sandzakpress.net","Bosanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","NOVI PAZAR","https://sandzakpress.net"
"28","sandzaknews.rs","Bosanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","NOVI PAZAR","http://sandzaknews.rs"
"29","www.snews.rs","Bosanski","Primarni jezik","Web-portal","Informativni",NA,NA,NA,NA,NA,"Ne","NOVI PAZAR","https://www.snews.rs/"
"30","Varoške novine","Bosanski","Sekundarni jezik","Višenedeljnik","Informativni","Srpski",NA,NA,NA,NA,"Ne","NOVA VAROŠ","http://www.varoske.net"
"31","Polimlje","Bosanski","Sekundarni jezik","Višenedeljnik","Informaticni","Srpski",NA,NA,NA,NA,"Ne","PRIJEPOLJE","https://www.listpolimlje.info"
"32","TV Caribrod","Bugarski","Primarni jezik","Televizija","Informativno-zabavni","Srpski",NA,NA,NA,NA,"Ne","DIMITROVGRAD","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/1492"
"33","TV Info plus","Bugarski","Sekundarni jezik","Kablovska TV","Informativno-zabavni","Srpski","Albanski",NA,NA,NA,"Ne","VRANJE","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/1097"
"34","Niška televizija NTV","Bugarski","Sekundarni jezik","Televizija","Informativno-zabavni","Srpski","Makedonski",NA,NA,NA,"Ne","NIŠ","http://www.rem.rs/sr-lat/registar-pruzalaca-medijskih-usluga/1017"
